species,official gene symbol,cell type,nicknames
Hs,LAPTM5,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CTH,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,APOF,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ASPG,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-620J15.3,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KCNH2,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LINC00152,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SHMT1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CNRIP1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPTA1,FH1,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-360F5.1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC6A1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,USP9Y,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DDX3Y,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CDR1-AS,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TTTY14,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RPS4Y1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UTY,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,EIF1AY,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ABCB11,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GYS2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AFM,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TNNI2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FRRS1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRG4,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AC004556.1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFH,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ADIRF,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT2A3,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,F9,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SEPHS2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HIST1H1E,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFHR4,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,KCNT2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CFHR2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SNHG24,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PSD3,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AZGP1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NRG1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GREM2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLCO1B1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MYO1E,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AC240274.1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HIST1H1D,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ENO3,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PON1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RAB3B,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HAO1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,S100A14,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SERPINE1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CPT1A,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT2B7,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CTH,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ABCA6,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CMYA5,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LGI4,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP51A1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-254I22.3,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,G6PC,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RNF152,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CCAT1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NFIC,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPARGC1A,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ANGPTL8,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC22A25,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MBNL2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RAPH1,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RNF19A,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IL1RN,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-817J15.3,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SGK2,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GRK5,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PPP1R3B,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NEDD9,FH2,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LINC00844,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSD11B1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2B6,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AQP9,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-403I13.5,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,MFSD2A,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LINC01554,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT1A1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2A7,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,THRSP,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP1A2,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LAMA5-AS1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,FLJ22763,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NAT2,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LGALS4,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ESR1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AKR1B10,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CITED4,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP1-232P20.1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SULT1B1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC28A1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IGHA1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CHI3L1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ATOH8,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PIGR,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AC004540.4,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2E1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,C9,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SAA1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SPINK1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SAA2,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,NNMT,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,DEFB1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-434D9.1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,IGF1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2C9,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TAT-AS1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LINC01485,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ABCC9,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-115C10.1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CES1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LINC01018,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2C8,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2A6,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,UGT3A1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ADH1C,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLPI,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CRP,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PRR34-AS1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSD17B13,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP2C18,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AVPR1A,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CYP3A4,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,PLA2G2A,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CNDP1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GPR153,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,LINC01093,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ALPL,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TPRG1-AS1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AOX1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HSD17B6,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,HTRA1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,RP11-328K4.1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CES3,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CHRDL2,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,TRPM8,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,GPX2,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,ANO1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,SLC1A1,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,CHRNA4,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
Hs,AKR7A3,AH,"Wesley, B. T. et al. Single-cell atlas of human liver development reveals pathways directing hepatic cell fates. Nat Cell Biol 1–12 (2022) doi:10.1038/s41556-022-00989-7. "
